SRR1162491,PRJNA229624
ERR036228,PRJEB2358
ERR040132,PRJEB2424
ERR040133,PRJEB2424
ERR046855,PRJEB2221
ERR1034587,PRJEB10385
ERR1034610,PRJEB10385
ERR1035363,PRJEB10385
ERR1679637,PRJEB15857
ERR181983,PRJEB2794
ERR400440,PRJEB5162
ERR551732,PRJEB9680
ERR551751,PRJEB9680
ERR552937,PRJEB9680
ERR553000,PRJEB7727
