SRR12072392,PRJNA640134
SRR12072398,PRJNA640134
SRR12072400,PRJNA640134
SRR12072402,PRJNA640134
SRR12072397,PRJNA640134
SRR12072399,PRJNA640134
SRR12072395,PRJNA640134
SRR12072393,PRJNA640134
SRR12072404,PRJNA640134
SRR12072394,PRJNA640134
SRR12072403,PRJNA640134
SRR12072624,PRJNA640134
SRR12072633,PRJNA640134
SRR12072605,PRJNA640134
SRR12072643,PRJNA640134
SRR12072627,PRJNA640134
SRR12072634,PRJNA640134
SRR12072647,PRJNA640134
SRR12072607,PRJNA640134
SRR12072621,PRJNA640134
SRR12072632,PRJNA640134
SRR12072646,PRJNA640134
SRR12072625,PRJNA640134
SRR12072629,PRJNA640134
SRR12072650,PRJNA640134
SRR12072609,PRJNA640134
SRR12072645,PRJNA640134
SRR12072649,PRJNA640134
SRR12072610,PRJNA640134
SRR12072613,PRJNA640134
SRR12072628,PRJNA640134
SRR12072641,PRJNA640134
SRR12072635,PRJNA640134
SRR12072615,PRJNA640134
SRR12072623,PRJNA640134
SRR12072617,PRJNA640134
SRR12072639,PRJNA640134
SRR12072622,PRJNA640134
SRR12072644,PRJNA640134
SRR12072648,PRJNA640134
SRR12072619,PRJNA640134
SRR12072636,PRJNA640134
SRR12072638,PRJNA640134
SRR12072626,PRJNA640134
SRR12072606,PRJNA640134
SRR12072620,PRJNA640134
SRR12072616,PRJNA640134
SRR12072618,PRJNA640134
SRR12072631,PRJNA640134
SRR12072612,PRJNA640134
SRR12072614,PRJNA640134
SRR12072637,PRJNA640134
SRR12072642,PRJNA640134
SRR12072640,PRJNA640134
SRR12072630,PRJNA640134
SRR12072608,PRJNA640134
SRR12072611,PRJNA640134
SRR12072401,PRJNA640134
SRR12072396,PRJNA640134

SRR14338799,PRJNA725227
SRR14338803,PRJNA725227
SRR14338811,PRJNA725227
SRR14338808,PRJNA725227
SRR14338805,PRJNA725227
SRR14338798,PRJNA725227
SRR14338813,PRJNA725227
SRR14338800,PRJNA725227
SRR14338804,PRJNA725227
SRR14338815,PRJNA725227
SRR14338812,PRJNA725227
SRR14338797,PRJNA725227
SRR14338816,PRJNA725227
SRR14338801,PRJNA725227
SRR14338814,PRJNA725227
SRR14338791,PRJNA725227
SRR14338802,PRJNA725227
SRR14338817,PRJNA725227
SRR14338818,PRJNA725227
SRR14338809,PRJNA725227
SRR14338794,PRJNA725227
SRR14338796,PRJNA725227
SRR14338793,PRJNA725227
SRR14338806,PRJNA725227
SRR14338792,PRJNA725227
SRR14338810,PRJNA725227
SRR14338807,PRJNA725227
SRR14338795,PRJNA725227

